timestamp,device_id,temperature,humidity,sensor_status
2026-04-27 17:13:11,ESP32_Edge_1,25.99,49.31,OK
2026-04-27 17:13:11,ESP32_Edge_4,25.87,53.0,OK
2026-04-27 17:13:11,ESP32_Edge_3,25.78,49.23,OK
2026-04-27 17:13:11,ESP32_Edge_5,23.92,49.76,OK
2026-04-27 17:13:11,ESP32_Edge_2,23.33,44.07,OK
2026-04-27 17:23:11,ESP32_Edge_1,22.78,51.59,OK
2026-04-27 17:23:11,ESP32_Edge_3,28.99,47.72,OK
2026-04-27 17:23:11,ESP32_Edge_4,22.58,47.17,OK
2026-04-27 17:23:11,ESP32_Edge_5,27.0,55.91,OK
2026-04-27 17:23:11,ESP32_Edge_2,20.36,59.16,OK
2026-04-27 17:33:11,ESP32_Edge_3,28.43,49.51,OK
2026-04-27 17:33:11,ESP32_Edge_5,23.84,58.21,OK
2026-04-27 17:33:11,ESP32_Edge_4,21.92,49.62,OK
2026-04-27 17:33:11,ESP32_Edge_1,28.16,5.47,OK
2026-04-27 17:33:11,ESP32_Edge_2,26.63,47.93,OK
2026-04-27 17:43:11,ESP32_Edge_1,72.69,57.31,OK
2026-04-27 17:43:11,ESP32_Edge_3,27.98,55.56,OK
2026-04-27 17:43:11,ESP32_Edge_4,25.96,47.11,OK
2026-04-27 17:43:11,ESP32_Edge_2,26.61,48.61,OK
2026-04-27 17:43:11,ESP32_Edge_5,27.05,53.71,OK
2026-04-27 17:53:11,ESP32_Edge_5,23.73,53.99,OK
2026-04-27 17:53:11,ESP32_Edge_3,23.52,54.32,OK
2026-04-27 17:53:11,ESP32_Edge_1,26.63,42.38,OK
2026-04-27 17:53:11,ESP32_Edge_2,26.69,58.51,OK
2026-04-27 17:53:11,ESP32_Edge_4,19.8,57.15,OK
2026-04-27 18:03:11,ESP32_Edge_4,24.36,49.84,OK
2026-04-27 18:03:11,ESP32_Edge_3,26.91,54.13,OK
2026-04-27 18:03:11,ESP32_Edge_1,23.18,42.94,OK
